To, Location
grygorczuk_carry_in, PIN_N26
grygorczuk_input_x0, PIN_N25
grygorczuk_input_x1 PIN_P25
grygorczuk_input_x2, PIN_AE14
grygorczuk_input_x3, PIN_AF14
grygorczuk_input_y0, PIN_AD13
grygorczuk_input_y1, PIN_AC13
grygorczuk_input_y2, PIN_C13
grygorczuk_input_y3, PIN_B13
grygorczuk_sign, PIN_A13
grygorczuk_output_a1, PIN_L3
grygorczuk_output_b1, PIN_L2
grygorczuk_output_c1, PIN_L9
grygorczuk_output_d1, PIN_L6
grygorczuk_output_e1, PIN_L7
grygorczuk_output_f1, PIN_P9
grygorczuk_output_g1, PIN_N9
grygorczuk_output_a0, PIN_R2
grygorczuk_output_b0, PIN_P4
grygorczuk_output_c0, PIN_P3
grygorczuk_output_d0, PIN_M2
grygorczuk_output_e0, PIN_M3
grygorczuk_output_f0, PIN_M5
grygorczuk_output_g0, PIN_M4
grygorczuk_overflow_flag, PIN_AE23
grygorczuk_negative_flag, PIN_AF23
grygorczuk_zero_flag, PIN_AB21
grygorczuk_carry_out_flag, PIN_AC22
grygorczuk_binary_display_LSB, PIN_AE22
grygorczuk_binary_display_MSB_2, PIN_AF22
grygorczuk_binary_display_MSB_1, PIN_W19
grygorczuk_binary_display_MSB, PIN_V18
